group_order,small_group_id,group_structure,class_i,class_j,class_size,union_size,linear_nullity,unordered_sign_solutions,nontrivial_partitions,isomorphic_partitions,new_twists,isomorphism_flags
192,1023,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",4,8,12,24,1,1,0,0,0,""
192,1023,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",4,9,12,24,1,1,0,0,0,""
192,1023,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",7,8,12,24,1,1,0,0,0,""
192,1023,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",7,9,12,24,1,1,0,0,0,""
192,1023,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",8,9,12,24,1,1,0,0,0,""
192,1024,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",3,4,12,24,1,1,0,0,0,""
192,1024,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",3,10,12,24,1,1,0,0,0,""
192,1024,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",3,11,12,24,1,1,0,0,0,""
192,1024,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",3,12,12,24,1,1,0,0,0,""
192,1024,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",4,10,12,24,1,1,0,0,0,""
192,1024,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",4,11,12,24,1,1,0,0,0,""
192,1024,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",4,12,12,24,1,1,0,0,0,""
192,1024,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",10,11,12,24,1,1,0,0,0,""
192,1024,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",10,12,12,24,1,1,0,0,0,""
192,1024,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",11,12,12,24,1,1,0,0,0,""
192,1025,"((C2 x C2) . (C2 x C2 x C2 x C2)) : C3",2,6,64,128,1,1,0,0,0,""
192,1025,"((C2 x C2) . (C2 x C2 x C2 x C2)) : C3",3,4,12,24,1,1,0,0,0,""
192,1025,"((C2 x C2) . (C2 x C2 x C2 x C2)) : C3",3,7,12,24,1,1,0,0,0,""
