group_order,small_group_id,group_structure,class_i,class_j,class_size,union_size,linear_nullity,unordered_sign_solutions,nontrivial_partitions,isomorphic_partitions,new_twists,isomorphism_flags
192,604,"C3 : ((Q8 : C4) : C2)",26,33,4,8,1,1,0,0,0,""
192,605,"C3 : ((C2 x QD16) : C2)",2,11,12,24,1,1,0,0,0,""
192,605,"C3 : ((C2 x QD16) : C2)",9,23,12,24,1,1,0,0,0,""
192,605,"C3 : ((C2 x QD16) : C2)",26,33,4,8,1,1,0,0,0,""
192,606,"C3 : ((C2 x QD16) : C2)",2,11,12,24,1,1,0,0,0,""
192,606,"C3 : ((C2 x QD16) : C2)",9,23,12,24,1,1,0,0,0,""
192,606,"C3 : ((C2 x QD16) : C2)",26,33,4,8,1,1,0,0,0,""
192,608,"C3 : ((C2 x QD16) : C2)",10,21,12,24,1,1,0,0,0,""
192,608,"C3 : ((C2 x QD16) : C2)",13,24,4,8,1,1,0,0,0,""
192,608,"C3 : ((C2 x QD16) : C2)",20,28,12,24,1,1,0,0,0,""
192,608,"C3 : ((C2 x QD16) : C2)",23,30,4,8,1,1,0,0,0,""
192,609,"C3 : ((C2 x Q16) : C2)",2,11,12,24,1,1,0,0,0,""
192,609,"C3 : ((C2 x Q16) : C2)",9,23,12,24,1,1,0,0,0,""
192,609,"C3 : ((C2 x Q16) : C2)",26,33,4,8,1,1,0,0,0,""
192,611,"C3 : ((C2 x Q16) : C2)",10,21,12,24,1,1,0,0,0,""
192,611,"C3 : ((C2 x Q16) : C2)",13,24,4,8,1,1,0,0,0,""
192,611,"C3 : ((C2 x Q16) : C2)",20,28,12,24,1,1,0,0,0,""
192,611,"C3 : ((C2 x Q16) : C2)",23,30,4,8,1,1,0,0,0,""
192,612,"C3 : (((C4 x C2 x C2) : C2) : C2)",2,11,12,24,1,1,0,0,0,""
192,612,"C3 : (((C4 x C2 x C2) : C2) : C2)",9,22,12,24,1,1,0,0,0,""
192,613,"C3 : ((Q8 : C4) : C2)",2,11,12,24,1,1,0,0,0,""
192,613,"C3 : ((Q8 : C4) : C2)",9,23,12,24,1,1,0,0,0,""
192,613,"C3 : ((Q8 : C4) : C2)",26,33,4,8,1,1,0,0,0,""
192,614,"C3 : ((Q8 : C4) : C2)",2,11,12,24,1,1,0,0,0,""
192,614,"C3 : ((Q8 : C4) : C2)",9,22,12,24,1,1,0,0,0,""
192,614,"C3 : ((Q8 : C4) : C2)",14,24,4,8,1,1,0,0,0,""
192,614,"C3 : ((Q8 : C4) : C2)",25,30,4,8,1,1,0,0,0,""
192,616,"C3 : ((C2 x QD16) : C2)",2,11,12,24,1,1,0,0,0,""
192,616,"C3 : ((C2 x QD16) : C2)",9,23,12,24,1,1,0,0,0,""
192,616,"C3 : ((C2 x QD16) : C2)",26,33,4,8,1,1,0,0,0,""
192,617,"C3 : ((C2 x D16) : C2)",10,21,12,24,1,1,0,0,0,""
192,617,"C3 : ((C2 x D16) : C2)",13,24,4,8,1,1,0,0,0,""
192,617,"C3 : ((C2 x D16) : C2)",20,28,12,24,1,1,0,0,0,""
192,617,"C3 : ((C2 x D16) : C2)",23,30,4,8,1,1,0,0,0,""
192,619,"C3 : ((C2 x Q16) : C2)",10,21,12,24,1,1,0,0,0,""
192,619,"C3 : ((C2 x Q16) : C2)",13,24,4,8,1,1,0,0,0,""
192,619,"C3 : ((C2 x Q16) : C2)",20,28,12,24,1,1,0,0,0,""
192,619,"C3 : ((C2 x Q16) : C2)",23,30,4,8,1,1,0,0,0,""
192,620,"C3 : (((C2 x Q8) : C2) : C2)",2,11,12,24,1,1,0,0,0,""
192,620,"C3 : (((C2 x Q8) : C2) : C2)",9,21,12,24,1,1,0,0,0,""
192,621,"C3 : ((C8 : (C2 x C2)) : C2)",2,11,12,24,1,1,0,0,0,""
192,621,"C3 : ((C8 : (C2 x C2)) : C2)",9,21,12,24,1,1,0,0,0,""
192,622,"C3 : ((C2 x C2) . (C2 x D8) = (C4 x C2) . (C2 x C2 x C2))",2,11,12,24,1,1,0,0,0,""
192,622,"C3 : ((C2 x C2) . (C2 x D8) = (C4 x C2) . (C2 x C2 x C2))",9,23,12,24,1,1,0,0,0,""
192,622,"C3 : ((C2 x C2) . (C2 x D8) = (C4 x C2) . (C2 x C2 x C2))",26,33,4,8,1,1,0,0,0,""
192,623,"C3 : (C8 : Q8)",2,11,12,24,1,1,0,0,0,""
192,623,"C3 : (C8 : Q8)",9,22,12,24,1,1,0,0,0,""
192,623,"C3 : (C8 : Q8)",14,24,4,8,1,1,0,0,0,""
192,623,"C3 : (C8 : Q8)",25,30,4,8,1,1,0,0,0,""
192,625,"C3 : (((C2 x C2) . (C2 x C2 x C2)) : C2)",2,11,12,24,1,1,0,0,0,""
192,625,"C3 : (((C2 x C2) . (C2 x C2 x C2)) : C2)",9,23,12,24,1,1,0,0,0,""
192,625,"C3 : (((C2 x C2) . (C2 x C2 x C2)) : C2)",26,33,4,8,1,1,0,0,0,""
192,626,"C3 : (((C8 x C2) : C2) : C2)",10,21,12,24,1,1,0,0,0,""
192,626,"C3 : (((C8 x C2) : C2) : C2)",13,24,4,8,1,1,0,0,0,""
192,626,"C3 : (((C8 x C2) : C2) : C2)",20,28,12,24,1,1,0,0,0,""
192,626,"C3 : (((C8 x C2) : C2) : C2)",23,30,4,8,1,1,0,0,0,""
192,628,"C3 : ((C2 x C2) . (C2 x D8) = (C4 x C2) . (C2 x C2 x C2))",10,21,12,24,1,1,0,0,0,""
